# Source: https://download.glycosmos.org/glycosmos_glycans_list.csv
# GlyCosmos snapshot date: 2026-08-10
# Source subsumption level: Base composition with linkage
# Source base-composition records: 8115
# GlyCombo-compatible canonical lookup records: 3398
CompositionKey	GlyTouCanAccession
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G28250EX
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G18630JE
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G84854EH
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G18081CC
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G04424FL
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G12408TX
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G53602BZ
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=6;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G15669RN
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=0;Pent=7;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G85599QM
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G03753JO
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G65957YS
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=4;Ac=0	G18477MJ
Hex=0;HexNAc=0;dHex=0;HexA=1;HexN=3;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=5;Ac=0	G50167HY
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G04664LP
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=1;Neu5Gc=0;dHexNAc=1;P=0;S=0;Ac=0	G91411JK
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G69371QT
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G99846FD
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G74853YI
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=3;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G64850AJ
Hex=0;HexNAc=0;dHex=0;HexA=2;HexN=3;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=5;Ac=0	G33271RB
Hex=0;HexNAc=0;dHex=0;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G31737SZ
Hex=0;HexNAc=0;dHex=0;HexA=3;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G22194EB
Hex=0;HexNAc=0;dHex=0;HexA=4;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G03399MV
Hex=0;HexNAc=0;dHex=0;HexA=4;HexN=0;Pent=7;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G78936XO
Hex=0;HexNAc=0;dHex=0;HexA=5;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G22117MQ
Hex=0;HexNAc=0;dHex=0;HexA=6;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G85402AO
Hex=0;HexNAc=0;dHex=0;HexA=7;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G24241XZ
Hex=0;HexNAc=0;dHex=12;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G41502ZX
Hex=0;HexNAc=0;dHex=16;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G25337EZ
Hex=0;HexNAc=0;dHex=19;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G82406FQ
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G30160IS
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G54533XR
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G15942WH
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G99793TW
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G87515CI
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G71310RN
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G84112WC
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G55574SG
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G94217LW
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=1;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G35579NG
Hex=0;HexNAc=0;dHex=1;HexA=0;HexN=2;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G48052IN
Hex=0;HexNAc=0;dHex=1;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G12002EC
Hex=0;HexNAc=0;dHex=1;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G83428TJ
Hex=0;HexNAc=0;dHex=1;HexA=1;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G41843GG
Hex=0;HexNAc=0;dHex=1;HexA=1;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G35910XA
Hex=0;HexNAc=0;dHex=1;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G84018YK
Hex=0;HexNAc=0;dHex=1;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G99541JH
Hex=0;HexNAc=0;dHex=1;HexA=4;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G27328XF
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G54941XR
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=5	G30764PX
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=1;Ac=0	G39186SX
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=3;Ac=0	G31141BZ
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=5;Ac=0	G06605CW
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=1;S=0;Ac=0	G57564XM
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=2;S=0;Ac=0	G75927MQ
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=5;S=0;Ac=0	G49589AW
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=0;KDN=1;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G20728HQ
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G99939XN
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G43688BB
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G29184BX
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G80371MU
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G03024NF
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=3;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G79124YP
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=4;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G22101PA
Hex=0;HexNAc=0;dHex=2;HexA=0;HexN=0;Pent=5;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G98750JH
Hex=0;HexNAc=0;dHex=2;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G85843HM
Hex=0;HexNAc=0;dHex=2;HexA=1;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G10871AD
Hex=0;HexNAc=0;dHex=2;HexA=2;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G32279EW
Hex=0;HexNAc=0;dHex=2;HexA=4;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G57579RJ
Hex=0;HexNAc=0;dHex=2;HexA=7;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G91583BV
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G95015AQ
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G87339XH
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G35809CW
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=3;S=0;Ac=0	G20615VS
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=4;S=0;Ac=0	G73287PJ
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G32343KW
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=1	G79497BS
Hex=0;HexNAc=0;dHex=3;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G71490FY
Hex=0;HexNAc=0;dHex=3;HexA=1;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G30891XE
Hex=0;HexNAc=0;dHex=3;HexA=3;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G92958UC
Hex=0;HexNAc=0;dHex=3;HexA=4;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G21646HZ
Hex=0;HexNAc=0;dHex=3;HexA=6;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G04734ND
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G51119BW
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=2	G01689VM
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=3	G88435TD
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=4	G44495GO
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=5	G99515EG
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=1;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G43701OE
Hex=0;HexNAc=0;dHex=4;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G62938KY
Hex=0;HexNAc=0;dHex=4;HexA=8;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G44374GZ
Hex=0;HexNAc=0;dHex=5;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G50286RB
Hex=0;HexNAc=0;dHex=5;HexA=0;HexN=0;Pent=2;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G26946BJ
Hex=0;HexNAc=0;dHex=6;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G27616TF
Hex=0;HexNAc=0;dHex=7;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G81826UF
Hex=0;HexNAc=0;dHex=9;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G10806OZ
Hex=0;HexNAc=10;dHex=1;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G85083TR
Hex=0;HexNAc=10;dHex=2;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G55338TZ
Hex=0;HexNAc=10;dHex=9;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G15786EM
Hex=0;HexNAc=11;dHex=0;HexA=0;HexN=0;Pent=0;KDN=0;Neu5Ac=0;Neu5Gc=0;dHexNAc=0;P=0;S=0;Ac=0	G75143IL
